Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,playerid
Joe Smith,MIN,1,0,0.00,15,0,0,0,0,7,0,12.1,45,8,1,0,0,2,1,0,0,0,9,3281
Josh Hader,MIL,0,0,0.00,14,0,0,0,14,0,0,13.1,48,2,0,0,0,5,0,0,0,0,21,14212
Andrew Heaney,LAD,1,0,0.00,2,2,0,0,0,0,0,10.1,40,4,1,0,0,3,0,1,0,0,16,15423
J.P. Feyereisen,TBR,3,0,0.00,16,2,0,0,0,4,1,19.0,64,4,0,0,0,4,0,0,0,0,20,16610
Ryan Helsley,STL,2,0,0.00,11,0,0,0,1,4,1,13.2,45,2,1,0,0,2,0,0,0,0,24,18138
Jarlin Garcia,SFG,1,1,0.00,13,0,0,0,0,1,0,13.1,49,4,2,0,0,6,0,0,0,0,10,18282
Cody Poteet,MIA,0,0,0.43,9,1,0,0,0,1,0,21.0,78,10,1,1,0,8,0,0,0,0,18,18769
Clay Holmes,NYY,4,0,0.44,19,0,0,0,3,7,0,20.1,74,13,1,1,0,2,0,1,1,0,19,13649
A.J. Puk,OAK,1,0,0.52,13,0,0,0,0,3,0,17.1,65,11,1,1,0,3,0,0,0,0,17,19343
Taylor Rogers,SDP,0,0,0.52,17,0,0,0,15,0,1,17.1,64,8,1,1,0,3,0,3,0,0,20,13449
Rafael Montero,HOU,1,0,0.55,17,0,0,0,3,4,0,16.1,63,11,3,1,1,4,0,0,0,0,18,12760
Dany Jimenez,OAK,1,1,0.55,16,0,0,0,8,1,0,16.1,65,10,3,1,0,5,0,0,0,0,17,21170
Joe Mantiply,ARI,1,0,0.57,18,0,0,0,2,4,1,15.2,56,10,1,1,0,1,0,0,0,0,13,14857
Tyler Kinley,COL,1,0,0.63,16,0,0,0,0,7,0,14.1,59,10,4,1,0,5,0,1,1,0,15,18297
Penn Murfee,SEA,0,0,0.73,10,0,0,0,0,0,0,12.1,45,5,1,1,0,3,0,1,0,0,16,25174
Sam Moll,OAK,1,0,0.73,15,0,0,0,0,5,0,12.1,50,5,1,1,0,8,2,1,1,0,16,14874
Danny Coulombe,MIN,0,0,0.75,9,0,0,0,0,0,0,12.0,48,5,2,1,0,7,0,0,0,0,9,13293
Cionel Perez,BAL,1,0,0.77,15,0,0,0,0,3,0,11.2,47,12,1,1,1,5,0,1,1,0,12,19614
Clarke Schmidt,NYY,2,2,0.82,5,0,0,0,0,0,0,11.0,43,6,2,1,1,4,1,1,0,0,9,19899
David Bednar,PIT,0,0,0.90,16,0,0,0,8,4,0,20.0,71,9,2,2,2,3,1,0,0,1,27,19569
Alexis Diaz,CIN,1,0,1.02,17,0,0,0,1,2,0,17.2,74,8,2,2,1,11,0,2,2,0,21,21132
Neil Pallante,STL,0,0,1.02,13,0,0,0,0,3,0,17.2,77,18,2,2,1,8,0,0,0,0,11,26108
Scott Effross,CHC,1,1,1.06,18,1,0,0,0,2,0,17.0,68,13,5,2,0,2,0,0,0,0,21,18384
Jason Adam,TBR,0,1,1.10,16,0,0,0,1,2,0,16.1,60,4,3,2,0,4,1,2,1,0,21,11861
Wily Peralta,DET,1,0,1.10,10,1,0,0,0,1,0,16.1,67,11,3,2,1,11,0,0,0,0,15,7738
Zac Gallen,ARI,3,0,1.14,7,7,0,0,0,0,0,39.1,150,20,5,5,1,8,0,5,0,0,39,19291
Rowan Wick,CHC,1,0,1.23,14,0,0,0,4,2,0,14.2,63,14,3,2,0,7,0,0,1,0,18,14646
Ryne Stanek,HOU,0,0,1.23,16,0,0,0,1,1,0,14.2,57,7,2,2,1,8,0,0,1,0,12,15947
Kyle Nelson,ARI,1,0,1.23,15,0,0,0,0,5,0,14.2,53,9,2,2,0,2,0,1,1,0,16,20515
Sam Hentges,CLE,0,0,1.29,12,0,0,0,0,0,0,14.0,51,7,2,2,0,2,0,1,3,0,18,18548
Brock Burke,TEX,3,0,1.29,12,0,0,0,0,2,0,21.0,81,16,4,3,1,5,0,0,0,0,28,17968
Louis Head,MIA,0,0,1.29,13,0,0,0,1,0,0,14.0,60,11,2,2,0,7,1,1,1,0,12,13259
Erik Swanson,SEA,0,0,1.29,13,0,0,0,0,3,0,14.0,53,10,2,2,2,1,0,0,0,0,21,16587
Nabil Crismatt,SDP,2,0,1.31,11,1,0,0,0,1,0,20.2,82,11,3,3,0,9,0,1,0,0,18,17732
Keegan Akin,BAL,1,0,1.33,11,0,0,0,0,1,0,27.0,100,16,4,4,1,5,0,0,1,0,22,19362
Nestor Cortes,NYY,2,1,1.35,7,7,0,0,0,0,0,40.0,151,23,7,6,3,11,0,0,0,0,49,17874
Joe Barlow,TEX,1,0,1.35,13,0,0,0,7,0,0,13.1,52,7,3,2,2,4,0,1,0,0,15,22296
Justin Verlander,HOU,5,1,1.38,7,7,0,0,0,0,0,45.2,162,22,7,7,4,9,0,1,0,0,41,8700
David Robertson,CHC,1,0,1.38,12,0,0,0,5,0,0,13.0,49,3,2,2,1,6,0,0,0,0,19,8241
Wandy Peralta,NYY,1,0,1.38,11,0,0,0,0,2,1,13.0,50,8,2,2,0,5,0,0,0,0,8,14295
Michael King,NYY,2,1,1.40,12,0,0,0,1,5,1,25.2,94,17,5,4,1,4,1,0,1,0,37,19853
Keegan Thompson,CHC,3,0,1.41,9,2,0,0,0,0,0,32.0,123,23,5,5,2,10,0,4,0,0,27,19795
Jorge Lopez,BAL,3,2,1.42,17,0,0,0,4,0,2,19.0,80,10,5,3,0,12,0,0,1,0,20,14527
Joel Payamps,KCR,1,1,1.47,11,0,0,0,0,0,0,18.1,74,17,4,3,0,4,1,1,0,0,15,14332
Scott Barlow,KCR,2,1,1.47,16,0,0,0,4,3,1,18.1,68,11,4,3,2,5,1,0,1,0,16,14993
Jackson Stephens,ATL,0,1,1.50,7,0,0,0,1,0,0,12.0,52,11,6,2,1,4,1,0,0,0,13,14420
Jaime Barria,LAA,1,0,1.50,6,0,0,0,0,0,0,18.0,70,13,4,3,2,2,0,1,0,0,14,18356
Colin Poche,TBR,0,0,1.50,13,0,0,0,0,7,0,12.0,42,5,2,2,2,2,0,0,0,0,10,19403
Jalen Beeks,TBR,1,0,1.53,10,1,0,0,0,0,0,17.2,65,10,3,3,2,5,0,0,1,0,18,17192
Drew Smith,NYM,0,1,1.53,16,0,0,0,0,10,0,17.2,68,9,3,3,2,8,0,0,0,0,20,17755
A.J. Minter,ATL,0,0,1.53,18,0,0,0,0,7,0,17.2,66,9,3,3,0,4,0,1,1,0,27,18655
Michael Kopech,CHW,0,1,1.54,7,7,0,0,0,0,0,35.0,137,16,8,6,0,17,0,1,1,0,33,17282
Pablo Lopez,MIA,4,1,1.57,8,8,0,0,0,0,0,46.0,178,31,9,8,2,11,0,0,2,0,48,17085
Aaron Loup,LAA,0,2,1.62,17,0,0,0,0,7,1,16.2,65,8,7,3,1,2,0,2,0,0,17,10343
Anthony Bass,MIA,1,1,1.62,17,0,0,0,0,8,0,16.2,64,11,5,3,1,3,0,0,1,0,18,7982
Tony Gonsolin,LAD,4,0,1.64,7,7,0,0,0,0,0,33.0,132,19,7,6,2,15,0,1,1,0,30,19388
Martin Perez,TEX,3,2,1.64,8,8,1,1,0,0,0,49.1,191,37,13,9,0,12,0,2,1,0,38,6902
Jeffrey Springs,TBR,1,1,1.66,11,3,0,0,0,0,0,21.2,79,14,4,4,1,3,0,0,0,0,20,17677
Miles Mikolas,STL,3,2,1.68,8,8,0,0,0,0,0,48.1,193,39,10,9,2,9,0,2,1,0,36,9803
Alek Manoah,TOR,4,1,1.71,7,7,0,0,0,0,0,42.0,164,28,10,8,3,9,0,4,1,0,39,26410
Devin Smeltzer,MIN,1,0,1.74,2,2,0,0,0,0,0,10.1,39,8,2,2,0,3,0,0,1,0,2,19487
Brad Hand,PHI,1,1,1.74,16,0,0,0,1,4,0,10.1,49,7,3,2,0,8,0,3,1,0,13,9111
Michael Wacha,BOS,3,0,1.76,6,6,0,0,0,0,0,30.2,120,17,6,6,3,14,0,0,0,0,22,14078
Clayton Kershaw,LAD,4,0,1.80,5,5,0,0,0,0,0,30.0,109,19,6,6,2,3,0,1,0,0,32,2036
Phoenix Sanders,TBR,0,0,1.80,5,0,0,0,0,0,0,10.0,39,8,2,2,0,2,0,0,0,0,9,20541
Connor Overton,CIN,1,0,1.82,4,4,0,0,0,0,0,24.2,89,15,5,5,0,7,0,0,0,0,10,18376
Jeff Hoffman,CIN,0,0,1.83,13,0,0,0,0,0,0,19.2,79,16,5,4,1,6,0,0,0,0,19,17432
Oliver Ortega,LAA,1,1,1.83,13,0,0,0,0,1,0,19.2,74,13,4,4,1,8,0,0,0,0,13,21025
Chase De Jong,PIT,1,0,1.84,8,0,0,0,0,0,0,14.2,60,8,5,3,2,5,0,1,2,0,9,15036
Matt Moore,TEX,1,0,1.86,12,0,0,0,0,1,0,19.1,86,15,5,4,0,13,1,0,2,0,23,1890
Alex Lange,DET,0,1,1.88,17,0,0,0,0,4,0,14.1,56,7,3,3,0,5,0,1,3,0,16,19883
Matt Strahm,BOS,2,1,1.88,17,0,0,0,1,4,0,14.1,54,7,4,3,0,3,0,1,0,0,15,13799
David Peterson,NYM,1,0,1.89,4,3,0,0,0,0,0,19.0,76,13,5,4,1,8,0,0,0,0,16,20302
Patrick Sandoval,LAA,2,1,1.91,6,6,0,0,0,0,0,33.0,140,26,9,7,0,16,0,1,0,0,31,19447
Paul Blackburn,OAK,4,0,1.91,8,8,0,0,0,0,0,42.1,164,35,9,9,1,7,1,0,0,0,34,14739
Hector Neris,HOU,1,2,2.00,19,0,0,0,0,6,0,18.0,66,10,4,4,1,2,0,1,1,0,19,11804
John Brebbia,SFG,1,0,2.00,17,0,0,0,0,3,0,18.0,69,13,4,4,0,4,0,0,0,0,19,12777
Zach Logue,OAK,2,2,2.04,4,3,0,0,0,0,0,17.2,74,16,4,4,2,5,0,0,0,0,14,20231
Austin Davis,BOS,1,1,2.04,17,1,0,0,0,1,1,17.2,73,13,4,4,2,7,1,1,0,0,21,17117
Jake Woodford,STL,1,0,2.08,7,0,0,0,0,0,0,13.0,53,11,4,3,0,6,0,0,2,0,9,18674
Tim Mayza,TOR,2,0,2.08,15,0,0,0,0,7,1,13.0,51,11,3,3,1,2,0,0,0,1,13,15042
Edwin Diaz,NYM,1,0,2.12,17,0,0,0,9,0,2,17.0,67,10,4,4,3,8,0,0,0,0,32,14710
Adam Cimber,TOR,4,2,2.12,18,0,0,0,3,5,2,17.0,64,11,6,4,1,3,0,1,0,0,13,15288
Will Vest,DET,0,1,2.12,14,0,0,0,1,0,0,17.0,60,7,4,4,2,4,0,1,1,0,22,19769
Emilio Pagan,MIN,0,1,2.13,13,0,0,0,6,1,1,12.2,59,10,5,3,3,10,0,0,0,0,16,14771
Eric Lauer,MIL,4,1,2.16,7,7,0,0,0,0,0,41.2,164,31,12,10,7,8,0,1,0,0,54,19316
MacKenzie Gore,SDP,2,1,2.17,6,5,0,0,0,1,0,29.0,118,26,7,7,1,9,0,1,2,0,32,22201
Jose Quintana,PIT,1,1,2.19,7,7,0,0,0,0,0,37.0,149,26,9,9,2,14,1,1,1,0,30,11423
Joe Musgrove,SDP,4,0,2.20,7,7,0,0,0,0,0,45.0,176,36,15,11,4,6,0,2,0,0,47,12970
Dillon Tate,BAL,0,2,2.21,18,0,0,0,1,6,0,20.1,79,15,7,5,1,3,0,2,2,0,14,17796
Tarik Skubal,DET,3,2,2.22,8,8,0,0,0,0,0,44.2,176,39,14,11,2,8,0,0,0,0,50,22267
Erasmo Ramirez,WSN,0,0,2.25,12,0,0,0,0,0,0,16.0,66,15,6,4,2,1,1,2,0,0,12,10314
Corbin Burnes,MIL,1,2,2.26,8,8,0,0,0,0,0,51.2,197,35,14,13,8,8,0,4,2,0,62,19361
Madison Bumgarner,ARI,2,2,2.29,8,8,0,0,0,0,0,35.1,147,28,12,9,4,14,0,0,0,0,21,5524
Steven Okert,MIA,2,0,2.31,16,0,0,0,0,5,1,11.2,48,5,3,3,1,7,0,2,0,0,17,13580
Drew Rasmussen,TBR,4,1,2.33,8,8,0,0,0,0,0,38.2,152,27,10,10,2,8,0,1,3,0,34,25385
Shane McClanahan,TBR,3,2,2.33,8,8,0,0,0,0,0,46.1,177,30,13,12,6,10,0,1,3,0,65,21483
Andrew Bellatti,PHI,1,0,2.38,13,0,0,0,0,1,0,11.1,49,9,4,3,1,6,0,0,1,0,17,10657
Joe Ryan,MIN,4,2,2.39,7,7,0,0,0,0,0,37.2,149,24,10,10,3,12,0,3,0,0,36,21390
Logan Gilbert,SEA,4,2,2.40,8,8,0,0,0,0,0,45.0,182,34,14,12,3,16,0,2,1,0,51,22250
Garrett Whitlock,BOS,1,1,2.43,9,5,0,0,1,0,1,29.2,119,18,9,8,4,10,0,1,1,0,37,20191
Andres Machado,WSN,0,0,2.45,10,0,0,0,0,0,0,11.0,46,8,5,3,0,5,0,1,2,0,8,14681
Taylor Clarke,KCR,1,0,2.45,15,0,0,0,1,3,1,14.2,61,16,7,4,2,0,0,0,0,0,11,17611
Dennis Santana,TEX,2,1,2.45,13,0,0,0,0,5,0,11.0,40,6,4,3,0,2,0,0,1,0,6,17878
Seranthony Dominguez,PHI,2,1,2.45,15,0,0,0,0,6,0,14.2,59,11,4,4,0,6,0,1,0,0,18,19249
Sandy Alcantara,MIA,3,2,2.49,8,8,0,0,0,0,0,50.2,201,36,16,14,4,20,1,4,1,0,42,18684
Spencer Strider,ATL,0,1,2.49,10,0,0,0,0,2,1,21.2,85,14,6,6,0,9,0,0,1,0,32,27498
Hansel Robles,BOS,1,1,2.51,14,0,0,0,2,6,2,14.1,58,9,7,4,2,6,1,0,0,2,10,11801
Kevin Gausman,TOR,3,3,2.52,8,8,0,0,0,0,0,50.0,197,49,16,14,1,3,0,0,0,1,57,14107
Alex Vesia,LAD,0,0,2.53,14,0,0,0,0,3,0,10.2,44,7,3,3,0,3,0,0,0,0,14,25007
Max Scherzer,NYM,5,1,2.54,8,8,0,0,0,0,0,49.2,193,36,15,14,5,11,0,4,0,0,59,3137
Rony Garcia,DET,0,0,2.57,8,0,0,0,0,0,0,14.0,51,7,4,4,2,3,0,0,1,0,17,20430
Chase Silseth,LAA,1,1,2.61,2,2,0,0,0,0,0,10.1,43,7,3,3,2,4,0,1,1,0,10,30074
Matt Wisler,TBR,2,1,2.61,17,3,0,0,0,2,2,20.2,85,17,12,6,3,6,1,0,1,0,15,12804
Justin Bruihl,LAD,0,1,2.61,10,0,0,0,0,1,0,10.1,38,7,4,3,1,1,0,1,0,0,8,23779
Brooks Raley,TBR,1,0,2.61,13,0,0,0,3,4,1,10.1,44,8,4,3,0,2,0,2,1,0,13,10061
Julio Urias,LAD,3,3,2.63,8,8,0,0,0,0,0,41.0,164,35,18,12,7,8,0,1,0,0,31,14765
Aroldis Chapman,NYY,0,1,2.63,16,0,0,0,9,0,0,13.2,62,11,4,4,1,9,0,0,2,0,15,10233
David Phelps,TOR,0,0,2.63,16,0,0,0,0,3,1,13.2,53,7,4,4,0,8,0,0,2,0,13,6316
Genesis Cabrera,STL,1,1,2.65,16,0,0,0,0,5,0,17.0,72,14,6,5,4,5,0,2,0,0,13,17490
John King,TEX,1,1,2.65,17,0,0,0,0,5,0,17.0,74,16,5,5,1,7,0,1,0,0,14,22051
Framber Valdez,HOU,3,2,2.68,8,8,0,0,0,0,0,47.0,198,40,15,14,1,19,0,3,1,1,39,17295
Wade Miley,CHC,1,0,2.70,2,2,0,0,0,0,0,10.0,40,6,3,3,0,5,0,0,0,0,7,8779
Jakob Junis,SFG,1,1,2.70,5,3,0,0,0,0,0,26.2,104,23,8,8,3,4,0,1,1,0,20,13619
Kenley Jansen,ATL,2,0,2.70,16,0,0,0,9,0,1,16.2,61,7,5,5,0,4,0,0,0,0,22,3096
Camilo Doval,SFG,0,2,2.70,16,0,0,0,7,0,1,16.2,72,12,6,5,1,9,1,1,1,0,22,21992
Gabe Speier,KCR,0,1,2.70,11,1,0,0,0,1,0,13.1,49,11,4,4,2,0,0,0,0,0,9,17170
Matt Foster,CHW,0,0,2.70,16,0,0,0,0,5,0,16.2,66,13,5,5,1,4,0,0,0,0,17,19647
Jake Diekman,BOS,0,0,2.70,17,0,0,0,1,9,3,13.1,60,9,5,4,2,11,1,2,1,0,19,5003
Trevor Stephan,CLE,2,1,2.70,16,0,0,0,1,2,0,16.2,65,11,7,5,0,5,1,0,0,0,16,19932
Wil Crowe,PIT,2,2,2.74,14,1,0,0,1,3,1,23.0,96,15,9,7,1,11,0,2,1,0,23,19800
Bailey Ober,MIN,1,1,2.75,4,4,0,0,0,0,0,19.2,83,19,8,6,2,5,0,0,0,1,16,21224
Craig Stammen,SDP,0,0,2.77,13,0,0,0,0,2,1,13.0,52,12,6,4,2,0,0,1,3,0,13,7274
Trevor Gott,MIL,1,0,2.77,14,0,0,0,0,4,1,13.0,51,9,6,4,1,2,0,1,0,0,18,15046
Chris Bassitt,NYM,4,2,2.77,8,8,0,0,0,0,0,48.2,200,40,15,15,6,13,0,5,1,1,49,12304
Kyle Wright,ATL,3,2,2.79,7,7,0,0,0,0,0,42.0,171,33,15,13,2,13,0,3,1,0,50,19665
Kendall Graveman,CHW,0,1,2.79,17,0,0,0,2,9,2,19.1,79,19,8,6,0,5,0,0,1,0,18,15514
Jhoan Duran,MIN,0,1,2.79,14,0,0,0,2,4,0,19.1,74,12,6,6,4,3,0,2,1,0,29,21029
Ronald Bolanos,KCR,0,0,2.81,6,0,0,0,0,0,0,16.0,71,15,5,5,2,10,1,1,0,0,11,20041
Cole Sulser,MIA,0,1,2.81,17,0,0,0,1,5,1,16.0,63,12,7,5,1,7,0,0,0,0,16,15256
