Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
CHC,276,599,682,160,103,40,2,15,91,84,67,4,144,10,5,1,21,4,4,.267
COL,256,605,674,159,103,34,2,20,79,74,49,0,138,11,6,3,15,4,3,.263
PHI,284,628,705,164,104,38,4,18,89,84,58,1,160,8,10,1,18,7,0,.261
NYM,298,673,772,174,121,33,3,17,94,88,71,0,149,19,6,3,14,12,4,.259
LAA,273,627,711,160,100,31,4,25,95,91,70,1,170,7,4,3,13,13,9,.255
CLE,266,613,677,155,101,31,7,16,81,80,50,0,150,6,6,2,14,6,3,.253
TOR,296,638,706,158,103,29,0,26,79,78,49,4,162,8,8,2,11,8,3,.248
TBR,267,593,666,145,95,30,4,16,78,74,62,2,162,6,5,0,9,10,3,.245
LAD,249,594,682,145,96,27,4,18,90,85,75,1,148,6,7,0,12,14,3,.244
NYY,278,593,670,144,93,26,1,24,75,70,59,2,158,8,6,3,13,10,3,.243
STL,241,569,643,135,93,27,2,13,72,69,58,1,138,10,4,1,12,17,1,.237
SEA,260,608,701,144,88,32,4,20,87,84,80,2,148,8,4,0,9,11,1,.237
MIA,259,566,648,134,89,25,6,14,66,63,67,2,163,9,6,0,12,10,2,.237
BOS,281,638,703,149,96,41,1,11,72,72,42,3,157,5,14,4,13,3,2,.234
SFG,295,631,708,146,95,29,1,21,91,85,62,2,171,9,6,0,14,11,4,.231
PIT,267,593,662,137,98,24,4,11,66,60,63,1,164,0,5,1,12,8,4,.231
ATL,268,620,698,142,81,39,1,21,74,69,62,0,169,9,7,0,15,3,1,.229
SDP,282,612,714,140,91,27,5,17,84,81,78,2,166,12,9,3,14,11,3,.229
TEX,289,610,678,138,98,25,0,15,81,76,56,2,135,6,6,0,7,10,5,.226
DET,258,546,615,122,90,21,3,8,57,57,61,1,149,5,3,0,14,2,3,.223
WSN,301,650,728,144,105,28,0,11,65,64,59,2,155,7,4,5,15,4,3,.222
MIN,265,571,652,125,81,23,1,20,68,62,70,1,162,7,3,0,16,4,4,.219
CHW,256,553,598,119,77,25,1,16,57,52,37,0,130,4,3,1,7,10,1,.215
HOU,263,598,669,125,78,26,1,20,65,63,61,3,148,4,3,2,10,6,5,.209
KCR,241,523,578,109,77,18,3,11,52,49,47,1,118,5,2,1,12,12,2,.208
BAL,281,592,677,123,87,26,1,9,54,53,65,1,177,13,4,2,7,12,4,.208
MIL,271,605,677,125,80,28,3,14,71,66,58,2,162,7,7,0,11,11,5,.207
OAK,291,620,681,128,81,29,2,16,72,64,53,3,181,6,2,0,11,10,1,.206
CIN,271,569,634,111,74,25,0,12,54,52,49,0,172,9,4,0,10,4,4,.195
ARI,312,597,687,106,64,24,1,17,57,53,72,2,175,9,6,3,7,7,3,.178