Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
LAD,13,7,2.29,87,20,1,1,4,7,1,176.2,695,117,52,45,11,46,0,10,6,0,182
NYY,15,6,2.70,102,21,0,0,8,21,3,189.2,786,151,61,57,14,68,3,11,6,0,199
NYM,15,7,2.85,94,22,0,0,6,17,4,196.0,786,137,65,62,15,65,3,7,4,0,219
SFG,14,7,2.87,105,21,0,0,7,13,2,188.1,772,169,64,60,11,52,1,6,9,0,191
MIL,15,7,3.06,95,22,0,0,11,16,5,194.0,810,146,73,66,13,83,1,9,10,0,222
MIA,12,8,3.10,94,20,0,0,9,16,1,177.0,724,138,70,61,15,64,1,7,7,0,174
MIN,12,9,3.16,86,21,0,0,3,7,3,185.0,760,152,68,65,23,64,1,3,4,1,180
TBR,12,9,3.18,101,21,0,0,6,11,2,184.0,759,145,84,65,20,57,2,10,12,0,196
STL,11,9,3.22,83,20,0,0,4,10,1,176.0,725,153,65,63,13,59,1,10,5,0,158
ARI,10,12,3.28,104,22,0,0,6,13,2,195.0,819,167,85,71,15,76,5,10,7,1,142
SEA,11,10,3.28,93,21,0,0,3,10,3,184.0,761,155,79,67,24,65,0,8,5,0,181
BOS,9,13,3.32,112,22,0,0,5,16,5,195.1,816,158,81,72,23,77,5,10,9,2,196
DET,7,13,3.34,93,20,0,0,4,9,2,175.1,727,151,81,65,17,55,1,1,5,0,140
OAK,10,11,3.56,98,21,0,0,7,21,3,184.2,765,160,80,73,20,64,4,7,8,1,170
SDP,14,8,3.58,95,22,0,0,8,18,3,196.0,805,153,87,78,25,72,0,8,14,0,204
HOU,11,10,3.59,97,21,0,0,5,13,2,185.1,780,161,83,74,20,65,1,15,9,1,174
LAA,14,8,3.60,100,22,0,0,7,17,3,195.0,799,147,84,78,24,65,4,8,4,1,181
BAL,7,14,3.61,101,21,0,0,4,9,0,182.0,774,165,88,73,19,69,0,7,8,1,156
TOR,14,8,3.76,110,22,0,0,11,18,5,196.1,821,180,89,82,20,60,0,6,5,1,185
CHW,8,12,3.78,100,20,0,0,6,18,5,176.0,769,155,87,74,14,87,3,8,14,1,190
PHI,11,11,3.89,97,22,0,0,5,14,1,192.0,808,164,88,83,18,73,1,15,6,0,185
CLE,9,12,3.91,90,21,0,0,4,7,2,181.2,754,161,91,79,21,53,0,10,8,1,161
ATL,10,12,4.13,93,22,0,0,8,10,2,194.0,822,161,96,89,19,80,1,11,10,1,207
CHC,8,13,4.55,93,21,0,0,6,8,3,180.0,771,175,96,91,28,69,1,5,5,1,185
KCR,7,12,4.55,95,19,0,0,4,8,3,170.0,728,167,91,86,17,67,3,6,7,1,143
TEX,7,14,4.57,107,21,0,0,2,8,2,185.0,795,163,99,94,32,81,1,12,5,0,193
COL,12,9,4.57,89,21,0,0,10,12,3,185.0,805,201,109,94,17,65,3,7,8,0,148
WSN,7,16,5.08,123,23,0,0,3,9,1,202.0,903,210,123,114,22,92,1,17,13,0,195
PIT,9,12,5.09,95,21,0,0,5,9,2,184.0,811,175,116,104,23,86,4,9,6,1,162
CIN,3,18,6.02,104,21,0,0,3,4,2,178.0,812,188,122,119,21,99,2,14,12,0,173